route_id,service_id,trip_id,trip_headsign
1181,平日,平日_16時20分_系統1181,林野駅（新道河本 経由）
5142,平日,平日_16時21分_系統5142,表町BC（高島団地・岡山駅前 経由）
1112,平日,平日_16時25分_系統1112,表町BC経由岡山駅（清水 経由）
1631,平日,平日_16時30分_系統1631,ネオ西９（西 ・下市 経由）
1111,平日,平日_16時30分_系統1111,四御神（県庁前 経由）
1282,平日,平日_16時35分_系統1282,岡山駅前経由表町BC（下市・中 経由）
2001,平日,平日_16時37分_系統2001,瀬戸駅（ネオ東６ 経由）
1621,平日,平日_16時45分_系統1621,ネオ西９（中 ・下市 経由）
8001,平日,平日_16時45分_系統8001,岡山後楽園(Korakuen)（県立美術館 経由）
5142,平日,平日_16時50分_系統5142,表町BC（高島団地・岡山駅前 経由）
5141,平日,平日_16時50分_系統5141,東岡山（岡山駅 経由）
1111,平日,平日_16時50分_系統1111,四御神（県庁前 経由）
1612,平日,平日_16時55分_系統1612,岡山駅前経由表町BC（新道河本 経由）
3110,平日,平日_16時57分_系統3110,表町BC
1112,平日,平日_17時00分_系統1112,表町BC経由岡山駅（清水 経由）
1371,平日,平日_17時05分_系統1371,山陽団地（西→中 経由）
1061,平日,平日_17時05分_系統1061,瀬戸駅
3102,平日,平日_17時05分_系統3102,表町ＢＣ経由岡山駅
1282,平日,平日_17時05分_系統1282,岡山駅前経由表町BC（下市・中 経由）
1062,平日,平日_17時12分_系統1062,表町ＢＣ経由岡山駅
2021,平日,平日_17時15分_系統2021,ネオ東６（中 ・下市 経由）
8001,平日,平日_17時15分_系統8001,岡山後楽園(Korakuen)（県立美術館 経由）
5142,平日,平日_17時15分_系統5142,表町BC（高島団地・岡山駅前 経由）
5141,平日,平日_17時20分_系統5141,東岡山（岡山駅 経由）
3101,平日,平日_17時25分_系統3101,片上
1282,平日,平日_17時26分_系統1282,岡山駅前経由表町BC（下市・中 経由）
1111,平日,平日_17時30分_系統1111,四御神（県庁前 経由）
2051,平日,平日_17時30分_系統2051,周匝（新道河本 経由）
1112,平日,平日_17時35分_系統1112,表町BC経由岡山駅（清水 経由）
1621,平日,平日_17時40分_系統1621,ネオ西９（中 ・下市 経由）
5141,平日,平日_17時45分_系統5141,東岡山（岡山駅 経由）
8001,平日,平日_17時45分_系統8001,岡山後楽園(Korakuen)（県立美術館 経由）
1114,平日,平日_17時48分_系統1114,表町BC（清水 経由）
3107,平日,平日_17時50分_系統3107,長岡・駅前
1631,平日,平日_17時50分_系統1631,ネオ西９（西 ・下市 経由）
5142,平日,平日_18時00分_系統5142,表町BC（高島団地・岡山駅前 経由）
1111,平日,平日_18時00分_系統1111,四御神（県庁前 経由）
1612,平日,平日_18時00分_系統1612,岡山駅前経由表町BC（新道河本 経由）
1061,平日,平日_18時00分_系統1061,瀬戸駅
