stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type
636_03,636,藤の里,,34.683966,133.965088,636_03,,0
636_05,636,藤の里,,34.683927,133.964876,636_05,,0
638_03,638,雄町西,,34.684194,133.967506,638_03,,0
638_05,638,雄町西,,34.684101,133.966910,638_05,,0
640_03,640,雄町中,,34.684573,133.971424,640_03,,0
640_05,640,雄町中,,34.684410,133.970276,640_05,,0
642_03,642,雄町,,34.685078,133.976676,642_03,,0
642_05,642,雄町,,34.684939,133.975895,642_05,,0
644_03,644,雄町東,,34.685270,133.978951,644_03,,0
644_05,644,雄町東,,34.685212,133.978739,644_05,,0
646_03,646,コウリョー前,,34.685581,133.982107,646_03,,0
646_05,646,コウリョー前,,34.685493,133.981788,646_05,,0
648_03,648,東岡山駅前,,34.685985,133.986050,648_03,,0
648_05,648,東岡山駅前,,34.685830,133.985401,648_05,,0
650_03,650,前土田,,34.688978,133.987812,650_03,,0
650_05,650,前土田,,34.688859,133.987898,650_05,,0
652_03,652,ろう学校前,,34.691908,133.987933,652_03,,0
652_05,652,ろう学校前,,34.692079,133.987985,652_05,,0
658_03,658,岡山東支援学校口,,34.693706,133.987782,658_03,,0
658_05,658,岡山東支援学校口,,34.693975,133.987130,658_05,,0
660_03,660,土田東,,34.693995,133.986062,660_03,,0
660_05,660,土田東,,34.694079,133.985778,660_05,,0
662_03,662,土田,,34.693452,133.982801,662_03,,0
662_05,662,土田,,34.693508,133.983171,662_05,,0
664_03,664,四御神南(東岡山),,34.692443,133.981606,664_03,,0
664_05,664,四御神南(東岡山),,34.692515,133.981530,664_05,,0
670_03,670,浜（岡山プラザホテル前）,,34.671253,133.936237,670_03,,0
670_05,670,浜（岡山プラザホテル前）,,34.671091,133.936263,670_05,,0
672_03,672,岡山中央警察署前,,34.671213,133.939338,672_03,,0
672_05,672,岡山中央警察署前,,34.671069,133.938424,672_05,,0
674_03,674,岡山市中区役所前,,34.671171,133.942218,674_03,,0
674_05,674,岡山市中区役所前,,34.671019,133.942955,674_05,,0
676_03,676,OHKハウジングパーク前,,34.672364,133.943643,676_03,,0
676_05,676,OHKハウジングパーク前,,34.672746,133.943940,676_05,,0
678_03,678,林病院入口,,34.673811,133.943872,678_03,,0
678_05,678,林病院入口,,34.673751,133.944097,678_05,,0
680_03,680,エディオン東川原店前,,34.675134,133.944049,680_03,,0
680_05,680,エディオン東川原店前,,34.675615,133.944336,680_05,,0
682_03,682,コープ東川原店前,,34.676641,133.944118,682_03,,0
682_05,682,コープ東川原店前,,34.676718,133.944322,682_05,,0
684_03,684,ジョイフル東川原店前,,34.678505,133.943854,684_03,,0
684_05,684,ジョイフル東川原店前,,34.678529,133.944116,684_05,,0
686_03,686,西川原,,34.679614,133.942767,686_03,,0
686_05,686,西川原,,34.680007,133.942593,686_05,,0
688_03,688,岡山ハートクリニック前,,34.680741,133.939698,688_03,,0
688_05,688,岡山ハートクリニック前,,34.680917,133.940087,688_05,,0
690_03,690,新中島竹田橋,,34.682421,133.939787,690_03,,0
690_05,690,新中島竹田橋,,34.682317,133.939927,690_05,,0
700_01,700,瀬戸線平島,,34.706419,134.053710,700_01,,0
702_01,702,東平島下,,34.709078,134.050761,702_01,,0
702_05,702,東平島下,,34.708611,134.051159,702_05,,0
704_01,704,パナソニック前,,34.710486,134.050013,704_01,,0
704_05,704,パナソニック前,,34.710290,134.050192,704_05,,0
706_01,706,東平島,,34.712702,134.048800,706_01,,0
706_05,706,東平島,,34.712305,134.049125,706_05,,0
708_01,708,東平島上,,34.715203,134.047561,708_01,,0
708_05,708,東平島上,,34.715086,134.047682,708_05,,0
710_01,710,砂場,,34.718710,134.045711,710_01,,0
710_05,710,砂場,,34.719224,134.045461,710_05,,0
712_01,712,沖下,,34.721462,134.043943,712_01,,0
712_05,712,沖下,,34.721105,134.044278,712_05,,0
714_01,714,瀬戸南高,,34.724181,134.042270,714_01,,0
714_05,714,瀬戸南高,,34.723974,134.042461,714_05,,0
716_01,716,沖,,34.725333,134.041384,716_01,,0
716_05,716,沖,,34.725128,134.041617,716_05,,0
718_01,718,竹久工業前,,34.726779,134.040179,718_01,,0
718_05,718,竹久工業前,,34.726785,134.040252,718_05,,0
720_01,720,瀬戸西,,34.731386,134.037776,720_01,,0
720_05,720,瀬戸西,,34.731960,134.038476,720_05,,0
722_01,722,瀬戸駅前,,34.735071,134.041219,722_01,,0
722_05,722,瀬戸駅前,,34.734715,134.041024,722_05,,0
724_01,724,瀬戸駅,,34.735051,134.041852,724_01,,0
724_05,724,瀬戸駅,,34.734828,134.041775,724_05,,0
726_01,726,赤磐警察署前,,34.737547,134.041666,726_01,,0
726_05,726,赤磐警察署前,,34.737033,134.040722,726_05,,0
728_01,728,瀬戸郵便局前,,34.736712,134.039619,728_01,,0
728_05,728,瀬戸郵便局前,,34.736436,134.038637,728_05,,0
730_01,730,瀬戸橋,,34.736048,134.034030,730_01,,0
730_05,730,瀬戸橋,,34.736489,134.034086,730_05,,0
732_01,732,舟廻,,34.743579,134.029071,732_01,,0
732_05,732,舟廻,,34.742620,134.030248,732_05,,0
734_01,734,立川,,34.746676,134.025951,734_01,,0
734_05,734,立川,,34.746648,134.026249,734_05,,0
736_01,736,医師会病院前,,34.751123,134.020136,736_01,,0
736_05,736,医師会病院前,,34.751227,134.020208,736_05,,0
738_04,738,瀬戸線下市,,34.752533,134.018516,738_04,,0
740_01,740,ネオポリス線下市,,34.753013,134.018095,740_01,,0
740_05,740,ネオポリス線下市,,34.753225,134.018235,740_05,,0
742_01,742,赤磐市役所前,,34.755302,134.019594,742_01,,0
742_05,742,赤磐市役所前,,34.755531,134.019948,742_05,,0
744_01,744,高屋（ネオ）,,34.757743,134.022493,744_01,,0
744_05,744,高屋（ネオ）,,34.757724,134.022529,744_05,,0
746_01,746,高屋上,,34.759119,134.023941,746_01,,0
746_05,746,高屋上,,34.759030,134.023898,746_05,,0
748_01,748,沼田,,34.760914,134.026556,748_01,,0
748_05,748,沼田,,34.760993,134.026721,748_05,,0
750_01,750,二井口,,34.762618,134.028214,750_01,,0
750_05,750,二井口,,34.762505,134.028116,750_05,,0
752_05,752,日古木・中島口,,34.763330,134.033059,752_05,,0
752_06,752,日古木・中島口,,34.763531,134.033106,752_06,,0
754_05,754,桜が丘西一丁目,,34.765634,134.040040,754_05,,0
754_06,754,桜が丘西一丁目,,34.765694,134.039955,754_06,,0
