"route_id","route_update_date","origin_stop","via_stop","destination_stop"
"20003_200291_1","20190401","邑久駅",,"瀬溝"
"21002_210032_1","20190401","海吉",,"岡山駅"
"29007_290871_1","20190401","住友重機械西門",,"新倉敷駅"
"25004_250591_1","20190401","岡山南支援学校",,"岡山駅"
"21002_210074_1","20190401","岡山駅",,"東区役所前"
"25005_250712_1","20190401","宇野駅",,"渋川三丁目"
"25006_250881_1","20190401","玉野光南高校",,"宇野駅"
"25003_531_1","20190401","おもちゃ王国",,"岡山駅"
"25007_2250661_1","20190401","東児市民センター",,"すこやかセンター"
"25006_250882_1","20190401","宇野駅",,"玉野光南高校"
"21002_210073_1","20190401","東区役所前",,"岡山駅"
"25005_250911_1","20190401","渋川三丁目",,"宇野駅"
"25007_2250612_1","20190401","すこやかセンター",,"東児市民センター"
"25003_533_1","20190401","おもちゃ王国",,"岡山駅"
"21002_210033_1","20190401","益野西",,"益野西"
"20002_200241_1","20190401","邑久駅",,"牛窓"
"20005_200151_1","20190401","西大寺",,"東宝伝"
"21002_210072_1","20190401","西大寺",,"岡山駅"
"25003_509_1","20190401","築港新町",,"渋川・マリンホテル"
"25006_250752_1","20190401","宇野駅",,"秀天橋"
"25007_2250621_1","20190401","東児市民センター",,"すこやかセンター"
"20007_200076_1","20190401","西大寺駅",,"東区役所前"
"25003_538_1","20190401","岡山駅",,"玉橋"
"25004_250621_1","20190401","渋川三丁目",,"岡山駅"
"20005_200152_1","20190401","東宝伝",,"西大寺"
"25003_503_1","20190401","渋川・マリンホテル",,"岡山駅"
"29005_292011_1","20190401","倉敷駅",,"岡山駅"
"21003_210101_1","20190401","西大寺",,"岡山駅"
"20003_200402_1","20190401","邑久駅",,"愛生園"
"25003_510_1","20190401","岡山駅",,"渋川・マリンホテル"
"25002_250472_1","20190401","岡山駅",,"宇野駅"
"20005_200171_1","20190401","西大寺",,"東宝伝"
"29004_290502_1","20190401","倉敷駅",,"倉敷駅"
"21005_210332_1","20190401","岡山駅",,"旭川荘"
"25005_250842_1","20190401","玉野営業所前",,"三井玉原前"
"25007_2250681_1","20190401","東児市民センター",,"すこやかセンター"
"25005_250931_1","20190401","王子ヶ岳登山口",,"宇野駅"
"25006_250771_1","20190401","企業団地北",,"宇野駅"
"25006_250772_1","20190401","宇野駅",,"企業団地北"
"25005_250912_1","20190401","宇野駅",,"渋川三丁目"
"25007_2250671_1","20190401","東児市民センター",,"すこやかセンター"
"25007_2250614_1","20190401","すこやかセンター",,"深山公園道の駅"
"29003_290542_1","20190401","倉敷駅",,"霞橋車庫"
"20003_200292_1","20190401","瀬溝",,"邑久駅"
"25006_250751_1","20190401","秀天橋",,"宇野駅"
"25003_505_1","20190401","渋川・マリンホテル",,"岡山駅"
"21001_212012_1","20190401","岡山駅",,"倉敷駅"
"25005_250932_1","20190401","宇野駅",,"王子ヶ岳登山口"
"20002_200231_1","20190401","西大寺",,"牛窓"
"20002_200243_1","20190401","邑久駅",,"牛窓"
