"trans_id","lang","translation"
"ゆめタウン倉敷","en","Youme Town Kurashiki"
"ゆめタウン倉敷","ja","ゆめタウン倉敷"
"ゆめタウン倉敷","ja-Hrkt","ユメタウンクラシキ"
"ＮＴＴ倉敷前","en","NTT Kurashiki-mae"
"ＮＴＴ倉敷前","ja","ＮＴＴ倉敷前"
"ＮＴＴ倉敷前","ja-Hrkt","エヌティーティークラシキマエ"
"倉敷南小学校前","en","Kurashiki Minami Shogakko-mae（Kurashiki Minami Elementary School）"
"倉敷南小学校前","ja","倉敷南小学校前"
"倉敷南小学校前","ja-Hrkt","クラシキミナミショウガッコウマエ"
"倉敷南高校入口","en","Kurashiki Minami Koko Iriguchi"
"倉敷南高校入口","ja","倉敷南高校入口"
"倉敷南高校入口","ja-Hrkt","クラシキミナミコウコウイリグチ"
"倉敷市役所","en","Kurashiki City Hall"
"倉敷市役所","ja","倉敷市役所"
"倉敷市役所","ja-Hrkt","クラシキシヤクショ"
"倉敷成人病センター前","en","Kurashiki Seijinbyo Center-mae（Kurashiki Medical Center）"
"倉敷成人病センター前","ja","倉敷成人病センター前"
"倉敷成人病センター前","ja-Hrkt","クラシキセイジンビョウセンターマエ"
"倉敷消防署","en","Kurashiki Shobosho（Kurashiki Fire Station）"
"倉敷消防署","ja","倉敷消防署"
"倉敷消防署","ja-Hrkt","クラシキショウボウショ"
"倉敷自動車教習所前","en","Kurashiki Jidosha Kyoshusho-mae"
"倉敷自動車教習所前","ja","倉敷自動車教習所前"
"倉敷自動車教習所前","ja-Hrkt","クラシキジドウシャキュウシュウショマエ"
"倉敷芸科大学","en","Kurashiki Geika Daigaku（Kurashiki University of Science and the Arts）"
"倉敷芸科大学","ja","倉敷芸科大学"
"倉敷芸科大学","ja-Hrkt","クラシキゲイカダイガク"
"倉敷西年金事務所前","en","Kurashiki Nishi Nenkin Jimusho-mae"
"倉敷西年金事務所前","ja","倉敷西年金事務所前"
"倉敷西年金事務所前","ja-Hrkt","クラシキニシネンキンジムショマエ"
"倉敷駅","en","Kurashiki Sta."
"倉敷駅","ja","倉敷駅"
"倉敷駅","ja-Hrkt","クラシキエキ"
"倉敷駅北口","en","Kurashiki Sta. North Gate"
"倉敷駅北口","ja","倉敷駅北口"
"倉敷駅北口","ja-Hrkt","クラシキエキキタグチ"
"倉敷高校前","en","Kurashiki Koko-mae（Kurashiki High School）"
"倉敷高校前","ja","倉敷高校前"
"倉敷高校前","ja-Hrkt","クラシキコウコウマエ"
"倉田北","en","Kurata-kita"
"倉田北","ja","倉田北"
"倉田北","ja-Hrkt","クラタキタ"
"健幸プラザ前","en","Kenko Plaza-mae"
"健幸プラザ前","ja","健幸プラザ前"
"健幸プラザ前","ja-Hrkt","ケンコウプラザマエ"
"健康づくり財団病院前","en","Kenko-zukuri Zaidan Byoin-mae (Kenko-zukuri Zaidan Hospital)"
"健康づくり財団病院前","ja","健康づくり財団病院前"
