"route_id","route_update_date","origin_stop","via_stop","destination_stop"
"330000_3008_1","20190116","津高営業所妙でん寺前",,"岡山駅"
"30400_3042_1","20190116","岡山理科大学東門",,"岡山駅"
"330200_3222_1","20190116","三野",,"岡山駅"
"20300_2031_1","20190116","天満屋",,"天満屋"
"10200_1032_1","20190116","岡山駅",,"岡山駅"
"10600_1065_1","20190116","岡山駅",,"日赤病院"
"330000_3091_1","20190116","天満屋",,"本村"
"81000_2508_1","20190116","岡電高屋",,"天満屋"
"330000_3009_1","20190116","天満屋",,"津高営業所妙でん寺前"
"43800_4382_1","20190116","岡山駅",,"新岡山港"
"10200_1021_1","20190116","岡山駅",,"岡山駅"
"30700_3072_1","20190116","岡山駅西口",,"岡山駅西口"
"10001_1005_1","20190116","岡山駅",,"大学病院"
"30300_3233_1","20190116","岡山駅",,"妙善寺"
"42400_4242_1","20190116","天満屋",,"重井付属病院"
"83000_4523_1","20190116","岡山駅",,"新岡山港"
"10200_1029_1","20190116","岡山ろうさい病院",,"岡山駅"
"81000_1561_1","20190116","岡山駅",,"慈圭病院"
"81000_2534_1","20190116","岡電高屋",,"イオンモール岡山前・源吉兆庵本社前"
"10500_1054_1","20190116","大東",,"岡山駅"
"110006_2003_1","20190116","岡山駅",,"天満屋"
"83000_4128_1","20190116","岡山駅",,"コンベックス岡山前"
"10500_1052_1","20190116","大東",,"岡山駅"
"10800_1085_1","20190116","岡山駅",,"花尻入口"
"82000_3521_1","20190116","岡山駅",,"三野"
"39000_3122_1","20190116","岡山理科大学",,"岡山駅西口"
"81000_1590_1","20190116","中庄駅",,"岡山駅"
"81000_2542_1","20190116","北長瀬駅前",,"岡山駅"
"30500_3055_1","20190116","天満屋",,"国立病院"
"110600_1067_1","20190116","岡山駅",,"岡山駅"
"20200_2021_1","20190116","岡山駅",,"西小学校前"
"83000_4125_1","20190116","重井付属病院",,"岡山駅"
"81000_2513_1","20190116","岡山駅",,"岡山駅"
"20400_2046_1","20190116","北長瀬駅前",,"大元駅法務局入口"
"10500_1053_1","20190116","岡山駅",,"大東"
"110006_2004_1","20190116","天満屋",,"岡山駅"
"110001_2005_1","20190116","天満屋",,"岡南営業所"
"30100_3012_1","20190116","津高営業所妙でん寺前",,"岡山駅西口"
"30100_3016_1","20190116","津高営業所妙でん寺前",,"岡山駅"
"43700_4371_1","20190116","岡山ふれあいセンター",,"岡山駅"
"82000_3543_1","20190116","岡山駅",,"岡山理科大学東門"
"30800_3085_1","20190116","岡山駅西口",,"神道山"
"82000_3554_1","20190116","本村",,"岡山駅西口"
"10800_4030_1","20190116","ＲＳＫバラ園前",,"岡山駅"
"30000_3051_1","20190116","天満屋",,"本村"
