service_id,date,exception_type
6,20170905,1
6,20170907,1
6,20170908,1
6,20170912,1
6,20170914,1
6,20170915,1
6,20170919,1
6,20170921,1
6,20170922,1
6,20170926,1
6,20170928,1
6,20170929,1
6,20171003,1
6,20171005,1
6,20171006,1
6,20171010,1
6,20171012,1
6,20171013,1
6,20171017,1
6,20171019,1
6,20171020,1
6,20171024,1
6,20171026,1
6,20171027,1
6,20171031,1
6,20171121,1
6,20171230,2
6,20171231,2
6,20180101,2
6,20180102,2
6,20180103,2
7,20170403,2
7,20170404,2
7,20170405,2
7,20170406,2
7,20170429,2
7,20170503,2
7,20170504,2
7,20170505,2
7,20170717,2
7,20170721,2
7,20170724,2
7,20170725,2
7,20170726,2
7,20170727,2
7,20170728,2
7,20170731,2
7,20170801,2
7,20170802,2
7,20170803,2
7,20170804,2
7,20170807,2
7,20170808,2
7,20170809,2
7,20170810,2
7,20170811,2
7,20170814,2
7,20170815,2
7,20170816,2
7,20170817,2
7,20170818,2
7,20170821,2
7,20170822,2
7,20170823,2
7,20170824,2
7,20170825,2
7,20170828,2
7,20170829,2
7,20170830,2
7,20170831,2
7,20170918,2
7,20170923,2
7,20171009,2
7,20171103,2
7,20171123,2
7,20171223,2
7,20171225,2
7,20171226,2
7,20171227,2
7,20171228,2
7,20171229,2
7,20180101,2
7,20180102,2
7,20180103,2
7,20180104,2
7,20180105,2
7,20180108,2
7,20180212,2
7,20180321,2
7,20180326,2
7,20180327,2
7,20180328,2
7,20180329,2
7,20180330,2
8,20170729,1
8,20170811,2
8,20170820,1
