service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,1,1,20170401,20180331
2,1,1,1,1,1,0,0,20170401,20180331
3,1,1,1,1,1,0,0,20170401,20180331
4,0,0,0,0,0,0,0,20170401,20180331
5,1,1,1,1,1,1,1,20170401,20180331
6,0,0,0,0,0,0,0,20170401,20180331
7,1,1,1,1,1,0,0,20170401,20180331
8,0,0,0,0,0,0,0,20170729,20170820
9,1,1,1,1,1,0,0,20170721,20170804
