trans_id,lang,translation
倉敷市役所,ja-Hira,くらしきしやくしょ
総合市場前,ja,総合市場前
総合市場前,ja-Hira,そうごういちばまえ
ゆめタウン倉敷前,ja,ゆめタウン倉敷前
ゆめタウン倉敷前,ja-Hira,ゆめたうんくらしきまえ
笹沖,ja,笹沖
笹沖,ja-Hira,ささおき
葦高小学校東,ja,葦高小学校東
葦高小学校東,ja-Hira,あしたかしょうがっこうひがし
倉敷南高校入口,ja,倉敷南高校入口
倉敷南高校入口,ja-Hira,くらしきみなみこうこういりぐち
吉岡,ja,吉岡
吉岡,ja-Hira,よしおか
浦田,ja,浦田
浦田,ja-Hira,うらだ
二福小古城池高前,ja,二福小古城池高前
二福小古城池高前,ja-Hira,にふくしょうこじょういけこうまえ
観音堂,ja,観音堂
観音堂,ja-Hira,かんのんどう
倉商前,ja,倉商前
倉商前,ja-Hira,くらしょうまえ
倉敷成人病センター前,ja,倉敷成人病センター前
倉敷成人病センター前,ja-Hira,くらしきせいじんびょうせんたーまえ
商工会館前,ja,商工会館前
商工会館前,ja-Hira,しょうこうかいかんまえ
西中,ja,西中
西中,ja-Hira,にしなか
大高,ja,大高
大高,ja-Hira,おおたか
旭化成団地口,ja,旭化成団地口
旭化成団地口,ja-Hira,あさひかせいだんちぐち
福井,ja,福井
福井,ja-Hira,ふくい
倉敷中央高校南,ja,倉敷中央高校南
倉敷中央高校南,ja-Hira,くらしきちゅうおうこうこうみなみ
帯江,ja,帯江
帯江,ja-Hira,おびえ
倉敷駅北口,ja,倉敷駅北口
倉敷駅北口,ja-Hira,くらしきえききたぐち
競艇場正門前,ja,競艇場正門前
競艇場正門前,ja-Hira,きょうていじょうせいもんまえ
倉敷シティ病院,ja,倉敷シティ病院
倉敷シティ病院,ja-Hira,くらしきしてぃびょういん
ＪＲ児島駅南,ja,JR児島駅南
ＪＲ児島駅南,ja-Hira,じぇーあーるこじまえきみなみ
ＪＲ児島駅,ja,JR児島駅
ＪＲ児島駅,ja-Hira,じぇーあーるこじまえき
天満屋ハピータウン前,ja,天満屋ハピータウン前
天満屋ハピータウン前,ja-Hira,てんまやはぴーたうんまえ
児島市民交流センター前,ja,児島市民交流センター前
児島市民交流センター前,ja-Hira,こじましみんこうりゅうせんたーまえ
大正橋,ja,大正橋
大正橋,ja-Hira,たいしょうばし
児島武道館前,ja,児島武道館前
児島武道館前,ja-Hira,こじまぶどうかんまえ
大谷口,ja,大谷口
大谷口,ja-Hira,おおたにぐち
萱刈,ja,萱刈
萱刈,ja-Hira,かやかり
和井田,ja,和井田
和井田,ja-Hira,わいた
常盤橋,ja,常盤橋
常盤橋,ja-Hira,ときわばし
下之町,ja,下之町
下之町,ja-Hira,しものちょう
堀江,ja,堀江
堀江,ja-Hira,ほりえ
琴浦高等支援学校前,ja,琴浦高等支援学校前
琴浦高等支援学校前,ja-Hira,ことうらこうとうしえんがっこうまえ
西明石,ja,西明石
西明石,ja-Hira,にしあかし
明石,ja,明石
明石,ja-Hira,あかし
田の口岡,ja,田の口岡
田の口岡,ja-Hira,たのくちおか
由加登山口,ja,由加登山口
由加登山口,ja-Hira,ゆがとざんぐち
田の口浜,ja,田の口浜
田の口浜,ja-Hira,たのくちはま
田の口五丁目,ja,田の口五丁目
田の口五丁目,ja-Hira,たのくちごちょうめ
唐琴の浦,ja,唐琴の浦
唐琴の浦,ja-Hira,からことのうら
唐琴警鐘台,ja,唐琴警鐘台
唐琴警鐘台,ja-Hira,からことけいしょうだい
唐琴町,ja,唐琴町
唐琴町,ja-Hira,からことちょう
東唐琴,ja,東唐琴
東唐琴,ja-Hira,ひがしからこと
琴浦園口,ja,琴浦園口
琴浦園口,ja-Hira,ことうらえんぐち
十九番札所前,ja,十九番札所前
十九番札所前,ja-Hira,じゅうくばんふだしょまえ
王子ヶ岳登山口,ja,王子ヶ岳登山口
王子ヶ岳登山口,ja-Hira,おうじがたけとざんぐち
ホールサムインせとうち,ja,ホールサムインせとうち
ホールサムインせとうち,ja-Hira,ほーるさむいんせとうち
渋川三丁目,ja,渋川三丁目
渋川三丁目,ja-Hira,しぶかわさんちょうめ
渋川,ja,渋川
渋川,ja-Hira,しぶかわ
渋川一丁目,ja,渋川一丁目
渋川一丁目,ja-Hira,しぶかわいちちょうめ
梅木橋,ja,梅木橋
梅木橋,ja-Hira,うめきばし
日比精煉西門前,ja,日比精煉西門前
日比精煉西門前,ja-Hira,ひびせいれんにしもんまえ
日比精煉所前,ja,日比精煉所前
日比精煉所前,ja-Hira,ひびせいれんしょまえ
日比,ja,日比
日比,ja-Hira,ひび
羽根崎町,ja,羽根崎町
羽根崎町,ja-Hira,はねざきまち
和田三丁目,ja,和田三丁目
和田三丁目,ja-Hira,わださんちょうめ
和田社宅前,ja,和田社宅前
和田社宅前,ja-Hira,わだしゃたくまえ
和田一丁目,ja,和田一丁目
和田一丁目,ja-Hira,わだいっちょうめ
日ノ田門前,ja,日ノ田門前
日ノ田門前,ja-Hira,ひのたもんまえ
三井Ｅ＆Ｓホールディングス前,ja,三井E&Sホールディングス前
三井Ｅ＆Ｓホールディングス前,ja-Hira,みついいーあんどえすほーるでぃんぐすまえ
玉四丁目,ja,玉四丁目
玉四丁目,ja-Hira,たまよんちょうめ
市民会館前,ja,市民会館前
市民会館前,ja-Hira,しみんかいかんまえ
玉六丁目,ja,玉六丁目
玉六丁目,ja-Hira,たまろくちょうめ
商工高校前,ja,商工高校前
商工高校前,ja-Hira,しょうこうこうこうまえ
天馬町,ja,天馬町
天馬町,ja-Hira,てんまちょう
ＮＴＴ玉野前,ja,ＮＴＴ玉野前
ＮＴＴ玉野前,ja-Hira,ＮＴＴたまのまえ
玉野市役所入口,ja,玉野市役所入口
玉野市役所入口,ja-Hira,たまのしやくしょいりぐち
旭橋通り,ja,旭橋通り
旭橋通り,ja-Hira,あさひばしとおり
宇野駅前,ja,宇野駅前
宇野駅前,ja-Hira,うのえきまえ
清戸,ja,清戸
清戸,ja-Hira,せいど
門前,ja,門前
門前,ja-Hira,かどまえ
東内尾,ja,東内尾
東内尾,ja-Hira,ひがしうちお
内尾,ja,内尾
内尾,ja-Hira,うちお
大曲,ja,大曲
大曲,ja-Hira,おおまがり
中畦,ja,中畦
中畦,ja-Hira,なかうね
南区役所興除地域センター前,ja,南区役所興除地域センター前
南区役所興除地域センター前,ja-Hira,みなみくやくしょこうじょちいきせんたーまえ
中央中畦,ja,中央中畦
中央中畦,ja-Hira,ちゅうおうなかうね
南中畦,ja,南中畦
南中畦,ja-Hira,みなみなかうね
興除郵便局前,ja,興除郵便局前
興除郵便局前,ja-Hira,こうじょゆうびんきょくまえ
丙川,ja,丙川
丙川,ja-Hira,ひのえがわ
東曽根,ja,東曽根
東曽根,ja-Hira,ひがしそね
曽根新道,ja,曽根新道
曽根新道,ja-Hira,そねしんみち
下電バス興除営業所前,ja,下電バス興除営業所前
下電バス興除営業所前,ja-Hira,しもでんばすこうじょえいぎょうしょまえ
曽根小学校前,ja,曽根小学校前
曽根小学校前,ja-Hira,そねしょうがっこうまえ
東西畦,ja,東西畦
東西畦,ja-Hira,ひがしにしうね
西畦,ja,西畦
西畦,ja-Hira,にしうね
彦崎跨線橋,ja,彦崎跨線橋
彦崎跨線橋,ja-Hira,ひこさきこせんきょう
植松駅,ja,植松駅
植松駅,ja-Hira,うえまつえき
植松,ja,植松
植松,ja-Hira,うえまつ
西植松,ja,西植松
西植松,ja-Hira,にしうえまつ
熊野神社入口,ja,熊野神社入口
熊野神社入口,ja-Hira,くまのじんじゃいろぐち
チクバ外科前,ja,チクバ外科前
チクバ外科前,ja-Hira,ちくばげかまえ
バイストン・倉敷帆布入口,ja,バイストン・倉敷帆布入口
バイストン・倉敷帆布入口,ja-Hira,ばいすとん・くらしきほうふいりぐち
福江,ja,福江
福江,ja-Hira,ふくえ
三軒茶屋,ja,三軒茶屋
三軒茶屋,ja-Hira,さんげんちゃや
木華佐久邪比め神社入口,ja,木華佐久邪比め神社入口
