route_id,service_id,trip_id,trip_headsign,block_id,trip_short_name,shape_id
C01下,土曜,土曜_13時10分_系統C01下,ＪＲ児島駅,,62,C01下
C01上,土曜,土曜_13時20分_系統C01上,倉敷駅前,,62,C01上
I3下,土曜,土曜_13時20分_系統I3下,王子ヶ岳登山口,,82,I3下
J21,土曜,土曜_13時30分_系統J21,ＪＲ児島駅,,S1,J21
D19上,土曜,土曜_13時30分_系統D19上,倉敷駅前（茶屋町駅前 経由）,,71,D19上
B02下,土曜,土曜_13時34分_系統B02下,中庄駅（天満屋 経由）,,E54,B02下
D24下,土曜,土曜_13時40分_系統D24下,下電興除車庫前（倉敷駅前 経由）,,73,D24下
C01下,土曜,土曜_13時40分_系統C01下,ＪＲ児島駅,,62,C01下
A07下,土曜,土曜_13時45分_系統A07下,下電興除車庫前（岡山駅 経由）,,D80,A07下
E06上,土曜,土曜_13時45分_系統E06上,倉敷駅前（倉敷成人病センター前 経由）,,51,E06上
I3上,土曜,土曜_13時50分_系統I3上,ＪＲ児島駅,,82,I3上
J19,土曜,土曜_13時50分_系統J19,ＪＲ児島駅,,F1,J19
C01上,土曜,土曜_13時50分_系統C01上,倉敷駅前,,62,C01上
A02上,土曜,土曜_13時56分_系統A02上,天満屋（下電興除車庫前 経由）,,D80,A02上
E06下,土曜,土曜_14時00分_系統E06下,ＪＲ児島駅（倉敷成人病センター前 経由）,,51,E06下
D16上,土曜,土曜_14時03分_系統D16上,倉敷駅前,,72,D16上
C01下,土曜,土曜_14時10分_系統C01下,ＪＲ児島駅,,62,C01下
