route_id,service_id,trip_id,trip_headsign,block_id,trip_short_name,shape_id
D16上,平日,平日_15時03分_系統D16上,倉敷駅前,,72,D16上
C01上,平日,平日_15時10分_系統C01上,倉敷駅前,,62,C01上
D23上,平日,平日_15時20分_系統D23上,倉敷成人病センター前（茶屋町駅前 経由）,,75,D23上
I3下,平日,平日_15時20分_系統I3下,王子ヶ岳登山口,,82,I3下
C01下,平日,平日_15時20分_系統C01下,ＪＲ児島駅,,62,C01下
N23上,平日,平日_15時28分_系統N23上,倉敷駅前（倉敷高校前 経由）,,78,N23上
J21,平日,平日_15時30分_系統J21,ＪＲ児島駅,,S1,J21
C01上,平日,平日_15時30分_系統C01上,倉敷駅前,,62,C01上
S05上,平日,平日_15時40分_系統S05上,ＪＲ児島駅,,85,S05上
C01下,平日,平日_15時40分_系統C01下,ＪＲ児島駅,,62,C01下
E06下,平日,平日_15時45分_系統E06下,ＪＲ児島駅（倉敷成人病センター前 経由）,,51,E06下
A07下,平日,平日_15時45分_系統A07下,下電興除車庫前（岡山駅 経由）,,D80,A07下
E06上,平日,平日_15時45分_系統E06上,倉敷駅前（倉敷成人病センター前 経由）,,51,E06上
C01上,平日,平日_15時50分_系統C01上,倉敷駅前,,62,C01上
J19,平日,平日_15時50分_系統J19,ＪＲ児島駅,,F1,J19
I3上,平日,平日_15時50分_系統I3上,ＪＲ児島駅,,82,I3上
J22,平日,平日_15時50分_系統J22,ＪＲ児島駅,,J1,J22
D16下,平日,平日_15時50分_系統D16下,茶屋町駅前,,72,D16下
A21上001,平日,平日_15時55分_系統A21上001,天満屋（岡山駅 経由）,,D80,A21上001
D19上,平日,平日_15時55分_系統D19上,倉敷駅前（茶屋町駅前 経由）,,71,D19上
C01下,平日,平日_16時00分_系統C01下,ＪＲ児島駅,,62,C01下
I3下,平日,平日_16時00分_系統I3下,王子ヶ岳登山口,,82,I3下
C01上,平日,平日_16時05分_系統C01上,倉敷駅前,,62,C01上
D24下,平日,平日_16時05分_系統D24下,下電興除車庫前（倉敷駅前 経由）,,73,D24下
N23下,平日,平日_16時10分_系統N23下,中庄駅（倉敷高校前 経由）,,78,N23下
E06下,平日,平日_16時15分_系統E06下,ＪＲ児島駅（倉敷成人病センター前 経由）,,51,E06下
E06上,平日,平日_16時15分_系統E06上,倉敷駅前（倉敷成人病センター前 経由）,,51,E06上
K2下,平日,平日_16時20分_系統K2下,由加山,,83,K2下
C01下,平日,平日_16時20分_系統C01下,ＪＲ児島駅,,62,C01下
D19上,平日,平日_16時20分_系統D19上,倉敷駅前（茶屋町駅前 経由）,,71,D19上
C01上,平日,平日_16時25分_系統C01上,倉敷駅前,,62,C01上
D1下,平日,平日_16時25分_系統D1下,ＪＲ児島駅,,55,D1下
I3上,平日,平日_16時30分_系統I3上,ＪＲ児島駅,,82,I3上
J21,平日,平日_16時30分_系統J21,ＪＲ児島駅,,S1,J21
A07上,平日,平日_16時31分_系統A07上,天満屋（汗入 経由）,,D80,A07上
C01下,平日,平日_16時40分_系統C01下,ＪＲ児島駅,,62,C01下
C01上,平日,平日_16時40分_系統C01上,倉敷駅前,,62,C01上
A07下,平日,平日_16時40分_系統A07下,下電興除車庫前（岡山駅 経由）,,D80,A07下
S05下,平日,平日_16時45分_系統S05下,瀬戸大橋ＦＷ,,85,S05下
A02上,平日,平日_16時45分_系統A02上,天満屋（下電興除車庫前 経由）,,D80,A02上
E06上,平日,平日_16時45分_系統E06上,倉敷駅前（倉敷成人病センター前 経由）,,51,E06上
E06下,平日,平日_16時45分_系統E06下,ＪＲ児島駅（倉敷成人病センター前 経由）,,51,E06下
I3下,平日,平日_16時50分_系統I3下,王子ヶ岳登山口,,82,I3下
J19,平日,平日_16時50分_系統J19,ＪＲ児島駅,,F1,J19
D1下,平日,平日_17時00分_系統D1下,ＪＲ児島駅,,55,D1下
E06上,平日,平日_17時00分_系統E06上,倉敷駅前（倉敷成人病センター前 経由）,,51,E06上
C01下,平日,平日_17時00分_系統C01下,ＪＲ児島駅,,62,C01下
K23上,平日,平日_17時03分_系統K23上,倉敷成人病センター前（倉敷高校前 経由）,,77,K23上
D16上,平日,平日_17時03分_系統D16上,倉敷駅前,,72,D16上
C01上,平日,平日_17時05分_系統C01上,倉敷駅前,,62,C01上
k1上,平日,平日_17時05分_系統k1上,ＪＲ児島駅,,83,k1上
D19下,平日,平日_17時15分_系統D19下,下電興除車庫前（茶屋町駅前 経由）,,71,D19下
I3下,平日,平日_17時18分_系統I3下,王子ヶ岳登山口,,82,I3下
E06上,平日,平日_17時20分_系統E06上,倉敷駅前（倉敷成人病センター前 経由）,,51,E06上
I3上,平日,平日_17時20分_系統I3上,ＪＲ児島駅,,82,I3上
C01下,平日,平日_17時20分_系統C01下,ＪＲ児島駅,,62,C01下
E06下,平日,平日_17時20分_系統E06下,ＪＲ児島駅（倉敷成人病センター前 経由）,,51,E06下
