trans_id,lang,translation
湯迫東,ja,湯迫東
湯迫東,ja-Hira,ゆばひがし
東が丘西,ja,東が丘西
東が丘西,ja-Hira,ひがしがおかにし
東が丘団地入口,ja,東が丘団地入口
東が丘団地入口,ja-Hira,ひがしがおかだんちいりぐち
東が丘団地,ja,東が丘団地
東が丘団地,ja-Hira,ひがしがおかだんち
東が丘団地中,ja,東が丘団地中
東が丘団地中,ja-Hira,ひがしがおかだんちなか
四御神西,ja,四御神西
四御神西,ja-Hira,しのごぜにし
四御神上,ja,四御神上
四御神上,ja-Hira,しのごぜかみ
四御神,ja,四御神
四御神,ja-Hira,しのごぜ
竜の口ｺﾐｭﾆﾃｨﾊｳｽ入口,ja,竜の口ｺﾐｭﾆﾃｨﾊｳｽ入口
竜の口ｺﾐｭﾆﾃｨﾊｳｽ入口,ja-Hira,たつのくちこみゅにてぃはうすいりぐち
四御神南,ja,四御神南
四御神南,ja-Hira,しのごぜみなみ
四御神車庫,ja,四御神車庫
四御神車庫,ja-Hira,しのごぜしゃこ
四御神車庫(東岡山),ja,四御神車庫(東岡山)
四御神車庫(東岡山),ja-Hira,ひがしおかやま
岡山駅前・中銀前,ja,岡山駅前・中銀前
岡山駅前・中銀前,ja-Hira,おかやまえきまえ
県民局入口,ja,県民局入口
県民局入口,ja-Hira,けんみんきょくいりぐち
岡電柳川,ja,岡電柳川
岡電柳川,ja-Hira,おかでんやながわ
番町口,ja,番町口
番町口,ja-Hira,ばんちょうぐち
南方交番前,ja,南方交番前
南方交番前,ja-Hira,みなみがたこうばんまえ
長泉寺,ja,長泉寺
長泉寺,ja-Hira,ちょうせんじ
大和町,ja,大和町
大和町,ja-Hira,やまとまち
御野校前,ja,御野校前
御野校前,ja-Hira,みのこうまえ
法界院駅前,ja,法界院駅前
法界院駅前,ja-Hira,ほうかいいんえきまえ
植物園口,ja,植物園口
植物園口,ja-Hira,しょくぶつえんぐち
水源池,ja,水源池
水源池,ja-Hira,すいげんち
三野,ja,三野
三野,ja-Hira,みの
江川,ja,江川
江川,ja-Hira,えがわ
原,ja,原
原,ja-Hira,はら
金山口,ja,金山口
金山口,ja-Hira,かなやまぐち
玉柏,ja,玉柏
玉柏,ja-Hira,たまがし
大原橋,ja,大原橋
大原橋,ja-Hira,おおはらばし
大原,ja,大原
大原,ja-Hira,おおはら
牟佐下,ja,牟佐下
