stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,platform_code,parent_station
2_親,,岡山駅,親（駅・ターミナル）,34.6649611659916,133.918622140014,,http://unobus.bustei.net/b.htm?T=0002,1,,
2_01,,岡山駅,,34.6649511659916,133.918614140014,2_01,http://unobus.bustei.net/b.htm?T=0002,0,11,2_親
2_04,,岡山駅,,34.6650011659916,133.918654140014,2_04,http://unobus.bustei.net/b.htm?T=0002,0,12,2_親
3_03,,柳川西（北側）東岡山,,34.665708,133.923902,3_03,http://unobus.bustei.net/b.htm?T=0003,0,,
4_親,,岡山駅前・ドレミの街,親（駅・ターミナル）,34.665691,133.921284,,http://unobus.bustei.net/b.htm?T=0004,1,,
4_01,,岡山駅前・ドレミの街,,34.665691,133.921284,4_01,http://unobus.bustei.net/b.htm?T=0004,0,6,4_親
5_01,,柳川西（北側）,,34.665708,133.923902,5_01,http://unobus.bustei.net/b.htm?T=0005,0,,
6_01,,柳川,,34.665783,133.927505,6_01,http://unobus.bustei.net/b.htm?T=0006,0,,
6_03,,柳川,,34.665496,133.927501,6_03,http://unobus.bustei.net/b.htm?T=0006,0,,
7_03,,柳川西（南側）,,34.665478,133.924762714286,7_03,http://unobus.bustei.net/b.htm?T=0007,0,,
8_01,,表町入口,,34.665818,133.928961285715,8_01,http://unobus.bustei.net/b.htm?T=0008,0,,
8_03,,表町入口,,34.665468,133.928941571429,8_03,http://unobus.bustei.net/b.htm?T=0008,0,,
10_01,,中銀本店西,,34.66287,133.930568,10_01,http://unobus.bustei.net/b.htm?T=0010,0,,
10_03,,中銀本店西,,34.662609,133.930308,10_03,http://unobus.bustei.net/b.htm?T=0010,0,,
12_01,,表町BC,,34.661572,133.930042,12_01,http://unobus.bustei.net/b.htm?T=0012,0,,
12_02,,表町BC,,34.661499,133.930044,12_02,http://unobus.bustei.net/b.htm?T=0012,0,,
12_03,,表町BC,,34.661394,133.930167,12_03,http://unobus.bustei.net/b.htm?T=0012,0,,
12_04,,表町BC,,34.661395,133.930248,12_04,http://unobus.bustei.net/b.htm?T=0012,0,,
12_05,,表町BC,,34.661649,133.930329,12_05,http://unobus.bustei.net/b.htm?T=0012,0,,
12_06,,表町BC,,34.6617175685716,133.930157669197,12_06,http://unobus.bustei.net/b.htm?T=0012,0,,
12_09,,表町BC,,34.6616275685716,133.930306240626,12_09,http://unobus.bustei.net/b.htm?T=0012,0,,
14_01,,中銀本店前,,34.662347,133.931,14_01,http://unobus.bustei.net/b.htm?T=0014,0,,
15_05,,中電前,,34.660463,133.931548,15_05,http://unobus.bustei.net/b.htm?T=0015,0,,
16_01,,県庁前,,34.662238,133.934469,16_01,http://unobus.bustei.net/b.htm?T=0016,0,,
16_05,,県庁前,,34.660805,133.934633,16_05,http://unobus.bustei.net/b.htm?T=0016,0,,
18_01,,朝日高前,,34.661932,133.942239,18_01,http://unobus.bustei.net/b.htm?T=0018,0,,
18_05,,朝日高前,,34.661685,133.942083,18_05,http://unobus.bustei.net/b.htm?T=0018,0,,
20_01,,国富,,34.664004,133.944497428571,20_01,http://unobus.bustei.net/b.htm?T=0020,0,,
20_05,,国富,,34.664846,133.945205,20_05,http://unobus.bustei.net/b.htm?T=0020,0,,
22_01,,国富東,,34.667335,133.947251285714,22_01,http://unobus.bustei.net/b.htm?T=0022,0,,
22_05,,国富東,,34.666825,133.946809,22_05,http://unobus.bustei.net/b.htm?T=0022,0,,
24_01,,原東,,34.669042,133.951189,24_01,http://unobus.bustei.net/b.htm?T=0024,0,,
24_05,,原東,,34.668601,133.950368,24_05,http://unobus.bustei.net/b.htm?T=0024,0,,
26_01,,原尾島住宅前,,34.670595,133.954844,26_01,http://unobus.bustei.net/b.htm?T=0026,0,,
26_05,,原尾島住宅前,,34.670339,133.954651,26_05,http://unobus.bustei.net/b.htm?T=0026,0,,
28_01,,二本松,,34.67312,133.9586,28_01,http://unobus.bustei.net/b.htm?T=0028,0,,
28_05,,二本松,,34.673095,133.959008571429,28_05,http://unobus.bustei.net/b.htm?T=0028,0,,
30_01,,二本松東,,34.673317,133.961970714286,30_01,http://unobus.bustei.net/b.htm?T=0030,0,,
30_05,,二本松東,,34.673145,133.960969,30_05,http://unobus.bustei.net/b.htm?T=0030,0,,
32_01,,高屋,,34.673467,133.965313285714,32_01,http://unobus.bustei.net/b.htm?T=0032,0,,
32_05,,高屋,,34.67335,133.964635,32_05,http://unobus.bustei.net/b.htm?T=0032,0,,
34_01,,高屋東,,34.673589,133.967611142857,34_01,http://unobus.bustei.net/b.htm?T=0034,0,,
34_05,,高屋東,,34.673492,133.967572,34_05,http://unobus.bustei.net/b.htm?T=0034,0,,
36_01,,兼基西,,34.673727,133.970319857143,36_01,http://unobus.bustei.net/b.htm?T=0036,0,,
36_05,,兼基西,,34.6736,133.97008,36_05,http://unobus.bustei.net/b.htm?T=0036,0,,
38_01,,兼基,,34.674553,133.974215571429,38_01,http://unobus.bustei.net/b.htm?T=0038,0,,
38_05,,兼基,,34.674193,133.973623,38_05,http://unobus.bustei.net/b.htm?T=0038,0,,
40_01,,兼基東,,34.675549,133.976768142857,40_01,http://unobus.bustei.net/b.htm?T=0040,0,,
40_05,,兼基東,,34.675111,133.975924,40_05,http://unobus.bustei.net/b.htm?T=0040,0,,
42_01,,乙多見西,,34.676726,133.979705285714,42_01,http://unobus.bustei.net/b.htm?T=0042,0,,
42_05,,乙多見西,,34.676315,133.979041,42_05,http://unobus.bustei.net/b.htm?T=0042,0,,
44_01,,乙多見,,34.677817,133.982549,44_01,http://unobus.bustei.net/b.htm?T=0044,0,,
44_05,,乙多見,,34.677361,133.981694,44_05,http://unobus.bustei.net/b.htm?T=0044,0,,
46_01,,長岡団地,,34.678726,133.984795,46_01,http://unobus.bustei.net/b.htm?T=0046,0,,
46_05,,長岡団地,,34.678351,133.984256,46_05,http://unobus.bustei.net/b.htm?T=0046,0,,
46_09,,長岡団地,,34.6788094273066,133.984884801883,46_09,http://unobus.bustei.net/b.htm?T=0046,0,,
48_01,,長岡西,,34.680016,133.988071571429,48_01,http://unobus.bustei.net/b.htm?T=0048,0,,
48_05,,長岡西,,34.679668,133.987421,48_05,http://unobus.bustei.net/b.htm?T=0048,0,,
50_01,,長岡,,34.681605,133.991009857143,50_01,http://unobus.bustei.net/b.htm?T=0050,0,,
50_05,,長岡,,34.680757,133.989769,50_05,http://unobus.bustei.net/b.htm?T=0050,0,,
52_05,,ワールド前,,34.681656,133.991309,52_05,http://unobus.bustei.net/b.htm?T=0052,0,,
54_01,,宍甘,,34.684046,133.995097,54_01,http://unobus.bustei.net/b.htm?T=0054,0,,
54_05,,宍甘,,34.683914,133.995131,54_05,http://unobus.bustei.net/b.htm?T=0054,0,,
56_01,,宿,,34.687076,134.000316,56_01,http://unobus.bustei.net/b.htm?T=0056,0,,
56_05,,宿,,34.686249,133.999082,56_05,http://unobus.bustei.net/b.htm?T=0056,0,,
58_01,,積水前,,34.68923,134.003975,58_01,http://unobus.bustei.net/b.htm?T=0058,0,,
58_05,,積水前,,34.687625,134.001427,58_05,http://unobus.bustei.net/b.htm?T=0058,0,,
60_05,,三石深井鉄工所前,,34.688998,134.003706142857,60_05,http://unobus.bustei.net/b.htm?T=0060,0,,
62_01,,藤井,,34.690801,134.006656,62_01,http://unobus.bustei.net/b.htm?T=0062,0,,
62_05,,藤井,,34.69061,134.006448571429,62_05,http://unobus.bustei.net/b.htm?T=0062,0,,
