table_name,field_name,field_value,language,translation
stops,stop_name,長泉寺,ja-Hrkt,ちょうせんじ
stops,stop_name,大和町,ja-Hrkt,やまとまち
stops,stop_name,御野校前,ja-Hrkt,みのこうまえ
stops,stop_name,法界院駅前,ja-Hrkt,ほうかいいんえきまえ
stops,stop_name,植物園口,ja-Hrkt,しょくぶつえんぐち
stops,stop_name,水源池,ja-Hrkt,すいげんち
stops,stop_name,三野,ja-Hrkt,みの
stops,stop_name,江川,ja-Hrkt,えがわ
stops,stop_name,原,ja-Hrkt,はら
stops,stop_name,金山口,ja-Hrkt,かなやまぐち
stops,stop_name,玉柏,ja-Hrkt,たまがし
stops,stop_name,大原橋,ja-Hrkt,おおはらばし
stops,stop_name,大原,ja-Hrkt,おおはら
stops,stop_name,牟佐下,ja-Hrkt,むさしも
stops,stop_name,牟佐上,ja-Hrkt,むさかみ
stops,stop_name,岡山東部脳神経外科病院前,ja-Hrkt,おかやまとうぶのうしんけいげか
stops,stop_name,黒田団地,ja-Hrkt,くろだだんち
stops,stop_name,馬屋下,ja-Hrkt,まやしも
stops,stop_name,馬屋,ja-Hrkt,まや
stops,stop_name,馬屋,en,Maya
stops,stop_name,新道穂崎下,ja-Hrkt,しんどうほさきしも
stops,stop_name,岩田,ja-Hrkt,いわた
stops,stop_name,新道穂崎,ja-Hrkt,しんどうほさき
stops,stop_name,駅前町,ja-Hrkt,えきまえちょう
stops,stop_name,裁判所前,ja-Hrkt,さいばんしょまえ
stops,stop_name,白鷺団地,ja-Hrkt,しらさぎだんち
stops,stop_name,山陽団地西１番,ja-Hrkt,さんようだんちにしいちばん
stops,stop_name,山陽団地西２番,ja-Hrkt,さんようだんちにしにばん
stops,stop_name,山陽団地西３番,ja-Hrkt,さんようだんちにしさんばん
stops,stop_name,足王神社口,ja-Hrkt,あしおうじんじゃぐち
stops,stop_name,山陽団地西４番,ja-Hrkt,さんようだんちにしよんばん
stops,stop_name,山陽団地西５番,ja-Hrkt,さんようだんちにしごばん
stops,stop_name,山陽団地西６番,ja-Hrkt,さんようだんちにしろくばん
stops,stop_name,山陽団地西７番,ja-Hrkt,さんようだんちにしななばん
stops,stop_name,山陽団地東,ja-Hrkt,さんようだんちひがし
stops,stop_name,老人福祉センター,ja-Hrkt,ろうじんふくしせんたー
stops,stop_name,下市上,ja-Hrkt,しもいちかみ
stops,stop_name,就実高校中学校前,ja-Hrkt,しゅうじつこうこうちゅうがっこうまえ
stops,stop_name,美術館前,ja-Hrkt,びじゅつかんまえ
stops,stop_name,弓之町,ja-Hrkt,ゆみのちょう
stops,stop_name,中島,ja-Hrkt,なかしま
stops,stop_name,中島上,ja-Hrkt,なかしまかみ
stops,stop_name,高島団地,ja-Hrkt,たかしまだんち
stops,stop_name,保育所前,ja-Hrkt,ほいくしょまえ
stops,stop_name,児童公園前,ja-Hrkt,じどうこうえんまえ
stops,stop_name,新屋敷団地西,ja-Hrkt,しんやしきだんちにし
stops,stop_name,新屋敷団地中,ja-Hrkt,しんやしきだんちなか
stops,stop_name,新屋敷団地,ja-Hrkt,しんやしきだんち
stops,stop_name,中井南,ja-Hrkt,なかいみなみ
stops,stop_name,藤の里,ja-Hrkt,ふじのさと
stops,stop_name,雄町西,ja-Hrkt,おまちにし
stops,stop_name,雄町中,ja-Hrkt,おまちなか
stops,stop_name,雄町,ja-Hrkt,おまち
stops,stop_name,雄町東,ja-Hrkt,おまちひがし
stops,stop_name,コウリョー前,ja-Hrkt,こうりょーまえ
stops,stop_name,東岡山駅前,ja-Hrkt,ひがしおかやまえきまえ
stops,stop_name,前土田,ja-Hrkt,まえつちだ
stops,stop_name,ろう学校前,ja-Hrkt,ろうがっこうまえ
stops,stop_name,岡山東支援学校口,ja-Hrkt,おかやまひがししえんがっこうぐち
stops,stop_name,土田東,ja-Hrkt,つちだひがし
stops,stop_name,土田,ja-Hrkt,つちだ
stops,stop_name,四御神南(東岡山),ja-Hrkt,しのごぜみなみ
stops,stop_name,浜（岡山プラザホテル前）,ja-Hrkt,はま
stops,stop_name,岡山中央警察署前,ja-Hrkt,おかやまちゅうおうけいさつしょまえ
stops,stop_name,岡山市中区役所前,ja-Hrkt,おかやましなかくやくしょまえ
stops,stop_name,OHKハウジングパーク前,ja-Hrkt,おーえいちけーはうじんぐぱーくまえ
stops,stop_name,林病院入口,ja-Hrkt,はやしびょういんいりぐち
stops,stop_name,エディオン東川原店前,ja-Hrkt,えでぃおんひがしがわらてんまえ
stops,stop_name,コープ東川原店前,ja-Hrkt,こーぷひがしがわらてんまえ
stops,stop_name,ジョイフル東川原店前,ja-Hrkt,じょいふるひがしがわらてんまえ
stops,stop_name,西川原,ja-Hrkt,にしがわら
stops,stop_name,岡山ハートクリニック前,ja-Hrkt,おかやまはーとくりにっくまえ
stops,stop_name,新中島竹田橋,ja-Hrkt,しんなかしまたけだばし
stops,stop_name,瀬戸線平島,ja-Hrkt,せとせんひらじま
stops,stop_name,東平島下,ja-Hrkt,ひがしひらじましも
stops,stop_name,パナソニック前,ja-Hrkt,ぱなそにっくまえ
stops,stop_name,東平島,ja-Hrkt,ひがしひらじま
stops,stop_name,東平島上,ja-Hrkt,ひがしひらじまかみ
stops,stop_name,砂場,ja-Hrkt,すなば
stops,stop_name,沖下,ja-Hrkt,おきしも
stops,stop_name,瀬戸南高,ja-Hrkt,せとみなみこう
stops,stop_name,沖,ja-Hrkt,おき
stops,stop_name,竹久工業前,ja-Hrkt,たけひさこうぎょうまえ
